lon,lat,k2,k3,k4,k5,k6
-73.945095,40.7967631,1,1,2,0,4
-73.8272817,40.7925022,1,1,2,3,5
-73.8462608,40.889099,1,1,2,3,1
-73.8776702,40.7367523,1,2,0,0,5
-73.9917127,40.7266586,0,0,1,0,4
-73.7991811,40.7025961,1,2,0,2,3
-73.9261378,40.6628331,0,0,1,1,0
-73.90735,40.683342,0,2,1,1,5
-73.8334803,40.7183344,1,2,0,2,5
-74.1465933,40.5728741,0,0,3,4,2
-73.8995293,40.8689211,1,1,2,3,1
-73.9815125,40.7678891,0,1,1,0,4
-73.9165884,40.7646435,1,1,2,0,4
-74.0009236,40.7223057,0,0,1,0,4
-73.7862648,40.5949551,1,2,0,2,3
-73.7845432,40.5950754,1,2,0,2,3
-73.9560377,40.7213971,0,0,1,0,4
-73.8261055,40.707726,1,2,0,2,5
-73.9721609,40.633111,0,0,1,1,0
-73.928656,40.8089077,1,1,2,3,1
-73.8527719,40.6975581,1,2,0,2,5
-73.9012151,40.7539022,1,1,2,0,5
-73.8418648,40.8594064,1,1,2,3,1
-73.9554104,40.8069669,1,1,2,0,4
-73.9948598,40.6668449,0,0,1,1,0
-73.9899156,40.6336958,0,0,1,1,0
-74.007232,40.7434703,0,0,1,0,4
-73.9432328,40.7993065,1,1,2,0,4
-73.9471991,40.7030309,0,0,1,0,4
-73.7934395,40.7607639,1,2,0,2,3
-73.9815036,40.7220655,0,0,1,0,4
-73.9735076,40.7437832,0,1,1,0,4
-73.8086312,40.7123891,1,2,0,2,3
-73.9413276,40.6784212,0,0,1,1,0
-73.9418201,40.7006513,0,0,1,0,4
-73.8006142,40.6684343,1,2,0,2,3
-73.858285,40.8846351,1,1,2,3,1
-73.999242,40.7595273,0,1,1,0,4
-73.850999,40.7356559,1,2,0,2,5
-73.9890305,40.6921238,0,0,1,1,4
-73.9600039,40.6888813,0,0,1,1,0
-73.9218247,40.6769384,0,0,1,1,0
-73.8174419,40.7024179,1,2,0,2,3
-73.9948457,40.7553799,0,1,1,0,4
-73.7298428,40.6655588,1,2,0,2,3
-73.9121841,40.6935757,1,0,1,0,5
-73.9059711,40.6780135,0,2,1,1,5
-73.9854489,40.7784761,0,1,2,0,4
-73.8214786,40.7034151,1,2,0,2,5
-73.81326,40.7275286,1,2,0,2,3
-73.8463329,40.6810893,1,2,0,2,5
-74.0221984,40.6372129,0,0,1,1,0
-73.9742573,40.6716866,0,0,1,1,0
-73.9378268,40.7016785,0,0,1,0,4
-73.8786294,40.6796759,1,2,0,2,5
-73.994646,40.7699819,0,1,1,0,4
-74.2407338,40.5050116,0,0,3,4,2
-73.9496784,40.7440826,1,1,1,0,4
-73.8724034,40.7340677,1,2,0,2,5
-74.0092883,40.6343958,0,0,1,1,0
-73.9162995,40.6785759,0,0,1,1,0
-73.9199425,40.695242,0,0,1,0,5
-73.9459999,40.6117856,0,0,1,1,0
-73.7697441,40.6837777,1,2,0,2,3
-73.9372198,40.8292264,1,1,2,3,1
-74.1697471,40.5634522,0,0,3,4,2
-73.9838993,40.6761486,0,0,1,1,0
-74.1231596,40.6273584,0,0,3,4,2
-73.9338108,40.6564232,0,0,1,1,0
-73.9490078,40.8233146,1,1,2,3,1
-73.9401036,40.836946,1,1,2,3,1
-73.8681111,40.8226164,1,1,2,3,1
-73.7546996,40.7147104,1,2,0,2,3
-73.9809286,40.6889031,0,0,1,1,0
-73.8998634,40.6686843,0,2,1,1,5
-73.8262398,40.8429926,1,1,2,3,1
-73.9344002,40.7460347,1,1,1,0,4
-73.8613598,40.8946624,1,1,2,3,1
-74.0892962,40.6464578,0,0,3,4,2
-73.7937861,40.6861261,1,2,0,2,3
-73.9621084,40.6848911,0,0,1,1,0
-73.8464085,40.8705533,1,1,2,3,1
-73.8146945,40.7371403,1,2,0,2,5
-73.8649534,40.8278579,1,1,2,3,1
-73.8856697,40.6760106,1,2,1,1,5
-73.7697441,40.6837777,1,2,0,2,3
-73.9186251,40.8291077,1,1,2,3,1
-73.9953279,40.7250834,0,0,1,0,4
-74.0099915,40.6385239,0,0,1,1,0
-73.740563,40.6367879,1,2,0,2,3
-73.9370711,40.8489388,1,1,2,3,1
-74.0052902,40.740023,0,0,1,0,4
-73.9000753,40.8640607,1,1,2,3,1
-73.9483255,40.6783944,0,0,1,1,0
-73.8890163,40.844371,1,1,2,3,1
-73.9118079,40.6999378,1,2,1,0,5
-73.9004935,40.6353138,0,0,1,1,0
-73.8526657,40.6983046,1,2,0,2,5
-73.9271438,40.8109488,1,1,2,3,1
-73.7297981,40.7130627,1,2,0,2,3
-73.9572076,40.6635186,0,0,1,1,0
-73.8369746,40.6819877,1,2,0,2,5
-73.7736537,40.670701,1,2,0,2,3
-73.848702,40.835103,1,1,2,3,1
-73.7796063,40.6649568,1,2,0,2,3
-73.744737,40.6674319,1,2,0,2,3
-73.9100244,40.6826581,0,0,1,1,5
-74.0278873,40.6363086,0,0,1,1,0
-73.9903644,40.7192038,0,0,1,0,4
-73.9892398,40.7580062,0,1,1,0,4
-73.9625453,40.6772855,0,0,1,1,0
-73.833625,40.6618088,1,2,0,2,5
-73.9008136,40.6987404,1,2,1,0,5
-73.9174877,40.7118379,1,1,1,0,5
-74.1471027,40.5410116,0,0,3,4,2
-73.8699408,40.8347693,1,1,2,3,1
-73.9124432,40.688553,0,0,1,1,5
-73.8836529,40.8359807,1,1,2,3,1
-74.1251317,40.6339191,0,0,3,4,2
-73.7656565,40.757332,1,2,0,2,3
-73.8895349,40.8607327,1,1,2,3,1
-73.9901168,40.7590795,0,1,1,0,4
-73.9850428,40.7535538,0,1,1,0,4
-73.7462772,40.7117223,1,2,0,2,3
-73.9278123,40.6742113,0,0,1,1,0
-73.9510151,40.6488425,0,0,1,1,0
-73.8722578,40.7347373,1,2,0,2,5
-73.9556509,40.6466293,0,0,1,1,0
-73.9261524,40.7440288,1,1,1,0,4
-73.7937525,40.6736758,1,2,0,2,3
-73.9826576,40.6126918,0,0,1,1,0
-74.0637592,40.598935,0,0,3,4,2
-73.8910006,40.8619857,1,1,2,3,1
-74.1227883,40.5704289,0,0,3,4,2
-73.8314216,40.7620746,1,2,0,2,5
-73.9849297,40.6315982,0,0,1,1,0
-73.9170643,40.8636899,1,1,2,3,1
-73.9327416,40.8482008,1,1,2,3,1
-73.8070397,40.7275952,1,2,0,2,3
-73.8775195,40.644042,0,2,1,1,5
-74.0084556,40.6311515,0,0,1,1,0
-73.8953596,40.8465178,1,1,2,3,1
-73.9607024,40.7150446,0,0,1,0,4
-74.1462893,40.5704975,0,0,3,4,2
-73.9962989,40.7163221,0,0,1,0,4
-73.9241695,40.7073932,0,0,1,0,4
-73.9804348,40.7376637,0,0,1,0,4
-73.8725373,40.824389,1,1,2,3,1
-73.8408162,40.7915061,1,1,2,3,1
-73.7762145,40.6799752,1,2,0,2,3
-74.1457633,40.5620359,0,0,3,4,2
-73.8981813,40.8590829,1,1,2,3,1
-73.9341311,40.6933544,0,0,1,0,4
-73.953146,40.7036236,0,0,1,0,4
-74.0269518,40.6394461,0,0,1,1,0
-73.8919053,40.6679141,1,2,1,1,5
-73.946714,40.6105974,0,0,1,1,0
-73.9845292,40.6960346,0,0,1,0,4
-73.8734816,40.8788559,1,1,2,3,1
-74.014457,40.7109059,0,0,1,0,4
-73.9509287,40.7858664,1,1,2,0,4
-73.9774579,40.6840525,0,0,1,1,0
-73.822349,40.7868543,1,2,0,2,5
-74.0048548,40.608595,0,0,1,1,0
-74.0015553,40.7410799,0,0,1,0,4
-73.9449685,40.6221055,0,0,1,1,0
-73.9905421,40.6365285,0,0,1,1,0
-73.9199778,40.8130685,1,1,2,3,1
-73.9653306,40.5969959,0,0,1,1,0
-73.9656282,40.7954563,1,1,2,0,4
-73.7954708,40.6858574,1,2,0,2,3
-73.918616,40.6918238,0,0,1,1,5
-73.9190309,40.676791,0,0,1,1,0
-73.8817897,40.8575247,1,1,2,3,1
-73.8804621,40.8439096,1,1,2,3,1
-73.8392055,40.8887024,1,1,2,3,1
-73.9114377,40.633857,0,0,1,1,0
-73.7231521,40.7247341,1,2,0,2,3
-73.9046763,40.8726198,1,1,2,3,1
-73.9504612,40.7055795,0,0,1,0,4
-73.7990938,40.6705452,1,2,0,2,3
-73.9172908,40.8240674,1,1,2,3,1
-73.7610205,40.6721741,1,2,0,2,3
-73.9643142,40.7606005,0,1,1,0,4
-73.7661877,40.7263282,1,2,0,2,3
-73.8290603,40.7650931,1,2,0,2,5
-73.7042359,40.7370358,1,2,0,2,3
-73.7992236,40.7830972,1,2,0,2,3
-73.9533713,40.6806417,0,0,1,1,0
-73.7738282,40.6596509,1,2,0,2,3
-73.8949662,40.6927708,1,2,1,1,5
-73.8628301,40.6694586,1,2,0,2,5
-74.2295419,40.5245585,0,0,3,4,2
-73.8409452,40.663466,1,2,0,2,5
-73.9344679,40.6625746,0,0,1,1,0
-74.0096542,40.7227857,0,0,1,0,4
-73.9410314,40.7850411,1,1,2,0,4
-73.8153438,40.6968646,1,2,0,2,3
-74.0166846,40.7047985,0,0,1,0,4
-73.9774535,40.6436356,0,0,1,1,0
-73.8911267,40.8600618,1,1,2,3,1
-73.9122888,40.6414086,0,0,1,1,0
-73.9902239,40.6685491,0,0,1,1,0
-73.9532091,40.7885324,1,1,2,0,4
-73.9078268,40.7569982,1,1,2,0,4
-73.9737625,40.6830499,0,0,1,1,0
-73.9924034,40.7124628,0,0,1,0,4
-74.0052206,40.6797618,0,0,1,1,0
-74.1005014,40.618921,0,0,3,4,2
-73.9102443,40.6639499,0,0,1,1,0
-73.9454636,40.6642272,0,0,1,1,0
-73.9775851,40.7132541,0,0,1,0,4
-73.9499662,40.7548861,1,1,1,0,4
-73.9313928,40.8137456,1,1,2,3,1
-73.9060117,40.6415299,0,0,1,1,0
-73.921687,40.8371848,1,1,2,3,1
-74.1106927,40.5695546,0,0,3,4,2
-73.9170734,40.7694719,1,1,2,0,4
-73.944355,40.800663,1,1,2,0,1
-73.9102097,40.8582887,1,1,2,3,1
-73.9105321,40.752982,1,1,2,0,4
-73.8870909,40.7650136,1,1,2,0,5
-73.9908317,40.7576605,0,1,1,0,4
-73.9852826,40.6976294,0,0,1,0,4
-73.7522774,40.7219679,1,2,0,2,3
-74.1844213,40.5245986,0,0,3,4,2
-73.9292257,40.6943807,0,0,1,0,4
-73.989131,40.6064564,0,0,1,1,0
-73.9649038,40.6487213,0,0,1,1,0
-73.9926041,40.7241363,0,0,1,0,4
-73.9675212,40.7130431,0,0,1,0,4
-73.9133969,40.8315302,1,1,2,3,1
-73.95595,40.62334,0,0,1,1,0
-73.9035402,40.6811981,1,2,1,1,5
-73.7805195,40.7533319,1,2,0,2,3
-73.9109952,40.6900286,0,0,1,1,5
-73.9774157,40.7553558,0,1,1,0,4
-73.9538363,40.5817444,0,0,1,1,0
-73.8253202,40.7802961,1,2,0,2,5
-73.9201116,40.6624585,0,0,1,1,0
-73.8192499,40.7312765,1,2,0,2,5
-73.754179,40.6788433,1,2,0,2,3
-73.7362398,40.727828,1,2,0,2,3
-73.8757387,40.7547091,1,1,2,0,5
-73.7276137,40.7462308,1,2,0,2,3
-73.9102748,40.8448836,1,1,2,3,1
-73.8665806,40.7317665,1,2,0,2,5
-73.9194827,40.7624498,1,1,2,0,4
-74.089205,40.607921,0,0,3,4,2
-74.146991,40.5720144,0,0,3,4,2
-73.9232532,40.6856128,0,0,1,1,0
-74.0164884,40.6257763,0,0,1,1,0
-74.0141371,40.6481192,0,0,1,1,0
-73.7739159,40.7209667,1,2,0,2,3
-74.0081276,40.629974,0,0,1,1,0
-73.9088974,40.6762262,0,0,1,1,5
-73.9426848,40.676495,0,0,1,1,0
-73.9891656,40.7478946,0,1,1,0,4
-74.0096819,40.7149466,0,0,1,0,4
-73.8645992,40.8882986,1,1,2,3,1
-73.9392613,40.6710339,0,0,1,1,0
-73.7727588,40.715398,1,2,0,2,3
-73.9212136,40.8676918,1,1,2,3,1
-73.9516511,40.6016653,0,0,1,1,0
-73.9721765,40.6041946,0,0,1,1,0
-74.0117465,40.7223244,0,0,1,0,4
-73.9521214,40.6137206,0,0,1,1,0
-73.933311,40.8498946,1,1,2,3,1
-73.9478174,40.6687847,0,0,1,1,0
-73.9772223,40.719309,0,0,1,0,4
-74.1069911,40.5732197,0,0,3,4,2
-74.027705,40.6398934,0,0,1,1,0
-73.9967877,40.7527231,0,1,1,0,4
-74.1079054,40.6355862,0,0,3,4,2
-73.8872451,40.82102,1,1,2,3,1
-73.9499234,40.7349317,0,1,1,0,4
-73.7661239,40.7023333,1,2,0,2,3
-74.1103789,40.5952985,0,0,3,4,2
-73.8913807,40.8617006,1,1,2,3,1
-74.2213144,40.5502524,0,0,3,4,2
-74.1106455,40.5932616,0,0,3,4,2
-73.9399099,40.8154026,1,1,2,3,1
-73.9239744,40.6191319,0,0,1,1,0
-74.1247682,40.6129438,0,0,3,4,2
-73.9478547,40.7041126,0,0,1,0,4
-73.8820542,40.7124548,1,2,0,2,5
-73.9951087,40.6632629,0,0,1,1,0
-73.9773653,40.6061445,0,0,1,1,0
-73.975589,40.6870851,0,0,1,1,0
-73.837804,40.6508164,1,2,0,2,5
-73.9707499,40.7616096,0,1,1,0,4
-73.956838,40.6386507,0,0,1,1,0
-73.8366945,40.7816495,1,2,0,2,5
-74.1588658,40.546255,0,0,3,4,2
-73.937539,40.6085562,0,0,1,1,0
-73.9830707,40.7306541,0,0,1,0,4
-73.9409127,40.6828346,0,0,1,1,0
-74.0023845,40.7177028,0,0,1,0,4
-73.8873109,40.6541418,0,2,1,1,5
-73.9589671,40.6393047,0,0,1,1,0
-73.9516499,40.643065,0,0,1,1,0
-73.8635575,40.8953759,1,1,2,3,1
-73.9129533,40.8142683,1,1,2,3,1
-74.1184051,40.6237622,0,0,3,4,2
-73.8774282,40.680015,1,2,0,2,5
-74.1342427,40.5798555,0,0,3,4,2
-73.9897692,40.7190253,0,0,1,0,4
-73.917246,40.7409404,1,1,1,0,4
-73.958105,40.6465177,0,0,1,1,0
-73.9978761,40.5775432,0,0,1,1,0
-73.918923,40.753636,1,1,2,0,4
-73.9926138,40.7020602,0,0,1,0,4
-73.9377918,40.6966885,0,0,1,0,4
-73.9667001,40.8041684,1,1,2,0,4
-73.9565897,40.6049089,0,0,1,1,0
-73.935154,40.6834985,0,0,1,1,0
-73.8903771,40.6765971,1,2,1,1,5
-73.8921621,40.6762804,1,2,1,1,5
-73.7648266,40.7132768,1,2,0,2,3
-73.947601,40.6873091,0,0,1,1,0
-73.9575944,40.729879,0,0,1,0,4
-73.9550915,40.7013819,0,0,1,0,4
-73.9382899,40.6533268,0,0,1,1,0
-73.9492066,40.6953767,0,0,1,0,4
-73.9004935,40.6353138,0,0,1,1,0
-74.0283499,40.6227987,0,0,1,1,0
-73.9588589,40.7095517,0,0,1,0,4
-73.8435526,40.6551776,1,2,0,2,5
-74.0051756,40.7514055,0,0,1,0,4
-73.8558592,40.8358971,1,1,2,3,1
-73.8678032,40.8229893,1,1,2,3,1
-73.8800407,40.8952213,1,1,2,3,1
-73.8667311,40.6528929,1,2,0,2,5
-73.8831904,40.8832851,1,1,2,3,1
-73.9198611,40.8319466,1,1,2,3,1
-73.9137927,40.8356009,1,1,2,3,1
-73.886457,40.6434336,0,2,1,1,5
-73.9595215,40.6103007,0,0,1,1,0
-73.7594419,40.7210636,1,2,0,2,3
-73.7913678,40.7249521,1,2,0,2,3
-73.9227518,40.6670963,0,0,1,1,0
-73.971314,40.7927515,1,1,2,0,4
-73.8992182,40.6591127,0,2,1,1,0
-73.9285112,40.7149962,1,0,1,0,4
-73.9861232,40.6614699,0,0,1,1,0
-73.9725665,40.6017957,0,0,1,1,0
-74.1746913,40.5493062,0,0,3,4,2
-73.9770106,40.6111729,0,0,1,1,0
-73.832233,40.7151185,1,2,0,2,5
-73.8879365,40.6743852,1,2,1,1,5
-73.7931891,40.7170202,1,2,0,2,3
-73.9189877,40.7657706,1,1,2,0,4
-74.0099173,40.7214627,0,0,1,0,4
-73.7499072,40.7200469,1,2,0,2,3
-73.7618509,40.7243404,1,2,0,2,3
-73.7598389,40.6789705,1,2,0,2,3
-73.8234254,40.7132279,1,2,0,2,5
-73.9342568,40.7121231,0,0,1,0,4
-73.9284311,40.6149737,0,0,1,1,0
-73.9140226,40.8422488,1,1,2,3,1
-73.7481227,40.6901305,1,2,0,2,3
-73.9191518,40.654358,0,0,1,1,0
-73.7806339,40.6889893,1,2,0,2,3
-73.8906895,40.7587426,1,1,2,0,5
-73.9216926,40.6543488,0,0,1,1,0
-74.0871407,40.6322387,0,0,3,4,2
-73.7393814,40.7557604,1,2,0,2,3
-73.9410184,40.595921,0,0,1,1,0
-73.9931449,40.7278664,0,0,1,0,4
-73.794641,40.7012377,1,2,0,2,3
-73.8054244,40.6790429,1,2,0,2,3
-73.7806252,40.6675224,1,2,0,2,3
-74.0882744,40.6340466,0,0,3,4,2
-73.8080447,40.7093579,1,2,0,2,3
-73.9390768,40.8216382,1,1,2,3,1
-73.8371456,40.7079562,1,2,0,2,5
-73.7506528,40.5988441,1,2,0,2,3
-73.8130578,40.7687544,1,2,0,2,5
-74.0834371,40.6322798,0,0,3,4,2
-73.9927445,40.6936035,0,0,1,0,4
-73.9567246,40.7080111,0,0,1,0,4
-73.8964115,40.9045032,1,1,2,3,1
-73.8163543,40.7149351,1,2,0,2,5
-73.9168429,40.7429437,1,1,1,0,4
-74.2104943,40.5480522,0,0,3,4,2
-73.9126017,40.6694056,0,0,1,1,0
-73.9136515,40.8803477,1,1,2,3,1
-74.0056304,40.7507879,0,0,1,0,4
-73.7569828,40.76226,1,2,0,2,3
-73.9906738,40.6222336,0,0,1,1,0
-74.014109,40.6345627,0,0,1,1,0
-73.8610722,40.674021,1,2,0,2,5
-73.9924034,40.7124628,0,0,1,0,4
-73.9130865,40.8450614,1,1,2,3,1
-73.8917522,40.7489641,1,1,2,0,5
-73.9991541,40.5728112,0,0,1,1,0
-73.9214796,40.7434822,1,1,1,0,4
-73.8235566,40.7590409,1,2,0,2,5
-74.1718512,40.5615222,0,0,3,4,2
-73.9127392,40.8618642,1,1,2,3,1
-73.9039226,40.7536108,1,1,2,0,5
-73.8410758,40.6903513,1,2,0,2,5
-73.9317919,40.6816356,0,0,1,1,0
-73.8048921,40.695851,1,2,0,2,3
-73.8700006,40.8226981,1,1,2,3,1
-74.0006602,40.72084,0,0,1,0,4
-73.9556676,40.6811367,0,0,1,1,0
-73.9557987,40.7117519,0,0,1,0,4
-73.8921621,40.6762804,1,2,1,1,5
-73.9378814,40.8095251,1,1,2,3,1
-73.934534,40.7127546,0,0,1,0,4
-73.9186024,40.6320672,0,0,1,1,0
-74.0004366,40.7287944,0,0,1,0,4
-73.9886432,40.742814,0,0,1,0,4
-73.8528081,40.883706,1,1,2,3,1
-73.8932165,40.8598744,1,1,2,3,1
-73.9886684,40.7007039,0,0,1,0,4
-74.0758098,40.638513,0,0,3,4,2
-73.9821578,40.7713942,0,1,1,0,4
-73.9099811,40.8856586,1,1,2,3,1
-73.9217245,40.7469984,1,1,1,0,4
-73.8149753,40.6866946,1,2,0,2,3
-73.8508718,40.8312111,1,1,2,3,1
-73.8481465,40.8330602,1,1,2,3,1
-73.9206117,40.8631133,1,1,2,3,1
-73.9911338,40.5759262,0,0,1,1,0
-73.9306048,40.6443717,0,0,1,1,0
-73.8935893,40.7466218,1,1,2,0,5
-73.9558968,40.6998644,0,0,1,0,4
-73.7569828,40.76226,1,2,0,2,3
-73.7701087,40.731779,1,2,0,2,3
-73.8548262,40.9035499,1,1,2,3,1
-73.8443478,40.7329792,1,2,0,2,5
-73.8106703,40.6815439,1,2,0,2,3
-73.814293,40.7025309,1,2,0,2,3
